Model Year,Gasoline,Gasoline Hybrid,Diesel,Other,Carb,GDI,Port,TBI,Electric,FCV,Avg. No. of Cylinders,CID,HP,"Multi-
Valve",VVT,CD,Turbo,"Stop/
Start"
1975,0.998,,0.002,,0.957,-,0.041,0,-,-,6.8,293,137,-,-,-,-,-
1976,0.998,,0.002,,0.973,-,0.025,0,-,-,6.9,294,135,-,-,-,-,-
1977,0.996,,0.004,,0.962,-,0.034,0,-,-,6.9,287,136,-,-,-,-,-
1978,0.991,,0.009,,0.952,-,0.039,0,-,-,6.7,266,129,-,-,-,-,-
1979,0.98,,0.02,,0.942,-,0.037,0.001,-,-,6.5,252,124,-,-,-,-,-
1980,0.957,,0.043,,0.897,-,0.052,0.008,-,-,5.6,198,104,-,-,-,-,-
1981,0.941,,0.059,,0.867,-,0.051,0.024,-,-,5.5,193,102,-,-,-,-,-
1982,0.944,,0.056,,0.806,-,0.058,0.08,-,-,5.4,188,103,-,-,-,-,-
1983,0.973,,0.027,,0.752,-,0.073,0.148,-,-,5.5,193,107,-,-,-,-,-
1984,0.982,,0.018,,0.676,-,0.119,0.187,-,-,5.5,190,109,-,-,-,-,-
1985,0.991,,0.009,,0.561,-,0.182,0.248,-,-,5.5,189,114,-,-,-,-,-
1986,0.996,,0.004,,0.414,-,0.325,0.257,-,-,5.3,180,114,0.034,-,-,-,-
1987,0.997,,0.003,,0.284,-,0.399,0.314,-,-,5.2,175,118,0.106,-,-,-,-
1988,0.999,,0.001,,0.15,-,0.506,0.343,-,-,5.3,180,123,0.14,-,-,-,-
1989,0.999,,0.001,,0.087,-,0.573,0.339,-,-,5.4,185,129,0.169,-,-,-,-
1990,0.999,,0.001,,0.021,-,0.708,0.27,-,-,5.4,185,135,0.231,-,-,-,-
1991,0.999,,0.001,,0.006,-,0.706,0.287,-,-,5.3,184,138,0.231,-,-,-,-
1992,0.999,,0.001,,0.005,-,0.816,0.178,-,-,5.5,191,145,0.233,-,-,-,-
1993,1.0,,-,,0.003,-,0.85,0.146,-,-,5.5,191,147,0.235,-,-,-,-
1994,1.0,,0,,0.001,-,0.877,0.121,-,-,5.6,197,152,0.267,-,-,-,-
1995,1.0,,0,,-,-,0.916,0.084,-,-,5.6,196,158,0.356,-,-,-,-
1996,0.999,,0.001,,-,-,0.993,0.007,-,-,5.6,197,164,0.393,-,-,0.002,-
1997,0.999,,0.001,,-,-,0.995,0.005,-,-,5.7,199,169,0.396,-,-,0.004,-
1998,0.999,,0.001,,-,-,0.998,0.001,-,-,5.6,199,171,0.409,-,-,0.008,-
1999,0.999,,0.001,,-,-,0.999,0.001,-,-,5.8,203,179,0.434,-,-,0.014,-
2000,0.998,0.0,0.001,,-,-,0.998,0,-,-,5.7,200,181,0.448,0.15,-,0.013,-
2001,0.997,0.001,0.001,,-,-,0.999,-,-,-,5.8,201,187,0.49,0.196,-,0.02,-
2002,0.996,0.002,0.002,,-,-,0.998,-,-,-,5.8,203,195,0.533,0.253,-,0.022,-
2003,0.995,0.003,0.002,,-,-,0.998,-,-,-,5.8,204,199,0.555,0.306,-,0.012,-
2004,0.994,0.005,0.001,,-,-,0.999,-,-,-,5.9,212,211,0.623,0.385,-,0.023,-
2005,0.986,0.011,0.003,,-,-,0.997,-,-,-,5.8,205,209,0.656,0.458,0.008,0.017,-
2006,0.981,0.015,0.004,,-,-,0.996,-,-,-,5.7,204,213,0.717,0.554,0.036,0.021,-
2007,0.977,0.022,0.001,,-,-,0.998,-,-,-,5.6,203,217,0.717,0.573,0.073,0.025,-
2008,0.974,0.025,0.001,,-,0.023,0.976,-,-,-,5.6,199,219,0.764,0.582,0.067,0.03,-
2009,0.972,0.023,0.005,,-,0.042,0.952,-,-,-,5.2,183,208,0.838,0.715,0.073,0.033,-
2010,0.955,0.038,0.007,0.0,-,0.083,0.91,-,-,0,5.3,188,214,0.855,0.838,0.064,0.033,-
2011,0.97,0.022,0.008,0.001,-,0.154,0.838,-,0.001,0,5.4,192,230,0.864,0.931,0.095,0.068,-
2012,0.955,0.031,0.009,0.004,-,0.225,0.765,-,0.001,0,5.1,181,222,0.918,0.966,0.081,0.084,0.006
2013,0.948,0.036,0.009,0.007,-,0.305,0.683,-,0.003,-,5.1,176,226,0.928,0.974,0.077,0.139,0.023
2014,0.957,0.026,0.01,0.007,-,0.374,0.613,-,0.003,0,5.1,180,230,0.892,0.976,0.106,0.148,0.051
2015,0.959,0.024,0.009,0.007,-,0.419,0.567,-,0.005,0,5.0,177,229,0.912,0.972,0.105,0.157,0.071
2016,0.969,0.018,0.005,0.008,-,0.48,0.51,-,0.005,0,5.0,174,230,0.923,0.98,0.104,0.199,0.096
2017,0.961,0.023,0.003,0.014,-,0.497,0.494,-,0.006,0,5.0,174,233,0.919,0.981,0.119,0.234,0.178
2018,0.928,0.036,0.009,0.027,-,0.507,0.466,-,0.018,0,5.0,169,237,0.917,0.957,0.118,0.308,0.283
