Model Year,Manual,Automatic with Lockup,Automatic without Lockup,CVT (Hybrid),"CVT
 (Non-Hybrid)",Other,"4 Gears 
or Fewer",5 Gears,"6 
Gears","7
 Gears","8 
Gears",9+ Gears,CVT (Hybrid).1,"CVT
 (Non-Hybrid).1","Avg. No. 
of Gears"
1975,0.23,0.002,0.768,-,-,-,0.99,0.01,-,-,-,-,-,-,-
1976,0.209,-,0.791,-,-,-,1.0,-,-,-,-,-,-,-,-
1977,0.198,-,0.802,-,-,-,1.0,-,-,-,-,-,-,-,-
1978,0.227,0.055,0.719,-,-,-,0.927,0.073,-,-,-,-,-,-,-
1979,0.242,0.073,0.681,-,-,0.004,0.938,0.062,-,-,-,-,-,-,3.3
1980,0.346,0.181,0.468,-,-,0.005,0.879,0.121,-,-,-,-,-,-,3.5
1981,0.336,0.33,0.329,-,-,0.005,0.856,0.144,-,-,-,-,-,-,3.5
1982,0.324,0.478,0.194,-,-,0.004,0.844,0.156,-,-,-,-,-,-,3.6
1983,0.305,0.521,0.17,-,-,0.004,0.809,0.191,-,-,-,-,-,-,3.7
1984,0.284,0.528,0.188,-,-,0,0.813,0.187,-,-,-,-,-,-,3.7
1985,0.265,0.545,0.191,-,-,-,0.807,0.193,-,-,-,-,-,-,3.8
1986,0.298,0.535,0.167,-,-,-,0.768,0.232,-,-,-,-,-,-,3.8
1987,0.291,0.554,0.155,-,-,0,0.762,0.238,-,-,-,-,-,-,3.9
1988,0.276,0.622,0.102,-,-,-,0.768,0.232,-,-,-,-,-,-,3.9
1989,0.246,0.655,0.099,-,0.001,0,0.785,0.214,0,-,-,-,-,0.001,3.9
1990,0.222,0.712,0.065,-,0,0,0.799,0.2,0.001,-,-,-,-,0,4
1991,0.239,0.716,0.045,-,0,-,0.773,0.226,0,-,-,-,-,0,4
1992,0.207,0.748,0.045,-,0,-,0.808,0.192,0.001,-,-,-,-,0,4
1993,0.198,0.765,0.037,-,0,-,0.809,0.19,0.001,-,-,-,-,0,4
1994,0.195,0.776,0.03,-,-,-,0.808,0.19,0.002,-,-,-,-,-,4.1
1995,0.179,0.807,0.014,-,-,-,0.82,0.177,0.002,-,-,-,-,-,4.1
1996,0.152,0.835,0.013,-,0,0,0.847,0.151,0.002,-,-,-,-,0,4.1
1997,0.14,0.855,0.005,-,0,-,0.824,0.173,0.002,-,-,-,-,0,4.1
1998,0.128,0.867,0.005,-,0,-,0.821,0.177,0.002,-,-,-,-,0,4.1
1999,0.101,0.894,0.005,-,0,-,0.844,0.153,0.003,-,-,-,-,0,4.1
2000,0.097,0.895,0.007,-,0,-,0.837,0.158,0.005,-,-,-,-,0,4.1
2001,0.09,0.903,0.006,0.001,0,-,0.807,0.185,0.007,-,-,-,0.001,0,4.2
2002,0.082,0.914,0.003,0.001,0.001,-,0.771,0.216,0.011,-,-,-,0.001,0.001,4.2
2003,0.08,0.908,0.001,0.003,0.008,-,0.692,0.281,0.017,-,-,-,0.003,0.008,4.3
2004,0.068,0.918,0.003,0.004,0.007,-,0.639,0.318,0.03,0.002,-,-,0.004,0.007,4.4
2005,0.062,0.915,0.001,0.01,0.013,-,0.56,0.373,0.041,0.002,-,-,0.01,0.013,4.5
2006,0.065,0.906,0.0,0.015,0.014,-,0.477,0.392,0.088,0.014,-,-,0.015,0.014,4.6
2007,0.056,0.871,0.0,0.021,0.051,-,0.405,0.361,0.144,0.015,0.002,-,0.021,0.051,4.8
2008,0.052,0.868,0.002,0.024,0.055,-,0.388,0.319,0.194,0.018,0.002,-,0.024,0.055,4.8
2009,0.048,0.856,0.002,0.021,0.073,-,0.312,0.322,0.245,0.025,0.001,-,0.021,0.073,5
2010,0.038,0.841,0.012,0.038,0.072,-,0.246,0.235,0.381,0.027,0.002,-,0.038,0.072,5.2
2011,0.032,0.865,0.003,0.02,0.08,-,0.142,0.187,0.523,0.031,0.017,-,0.02,0.08,5.5
2012,0.036,0.834,0.011,0.027,0.092,-,0.081,0.182,0.563,0.028,0.026,-,0.027,0.092,5.5
2013,0.035,0.804,0.014,0.029,0.118,-,0.054,0.128,0.601,0.028,0.041,-,0.029,0.118,5.6
2014,0.028,0.767,0.016,0.023,0.166,-,0.022,0.078,0.584,0.033,0.084,0.011,0.023,0.166,5.9
2015,0.026,0.723,0.014,0.022,0.215,-,0.015,0.045,0.542,0.031,0.095,0.035,0.022,0.215,5.9
2016,0.022,0.724,0.026,0.017,0.211,-,0.011,0.03,0.549,0.029,0.113,0.041,0.017,0.211,6
2017,0.021,0.715,0.026,0.019,0.219,-,0.01,0.024,0.49,0.033,0.146,0.051,0.019,0.219,6.1
2018,0.025,0.718,0.035,0.026,0.196,-,0.021,0.026,0.367,0.035,0.187,0.085,0.026,0.196,6.4
