Model Year,Front Wheel Drive,Rear Wheel Drive,Four Wheel Drive
1975,-,0.828,0.172
1976,-,0.77,0.23
1977,-,0.762,0.238
1978,-,0.709,0.291
1979,-,0.819,0.181
1980,0.014,0.736,0.25
1981,0.019,0.78,0.201
1982,0.017,0.781,0.202
1983,0.014,0.725,0.261
1984,0.05,0.635,0.315
1985,0.073,0.614,0.313
1986,0.059,0.634,0.307
1987,0.076,0.602,0.322
1988,0.092,0.567,0.341
1989,0.101,0.571,0.328
1990,0.158,0.524,0.318
1991,0.103,0.523,0.373
1992,0.145,0.521,0.334
1993,0.168,0.506,0.327
1994,0.138,0.47,0.392
1995,0.184,0.393,0.423
1996,0.209,0.398,0.392
1997,0.142,0.406,0.452
1998,0.193,0.355,0.451
1999,0.175,0.344,0.481
2000,0.2,0.338,0.463
2001,0.163,0.348,0.488
2002,0.154,0.331,0.516
2003,0.154,0.341,0.504
2004,0.125,0.31,0.565
2005,0.201,0.277,0.522
2006,0.189,0.28,0.531
2007,0.161,0.284,0.555
2008,0.184,0.248,0.568
2009,0.21,0.205,0.585
2010,0.209,0.18,0.61
2011,0.177,0.173,0.65
2012,0.209,0.148,0.643
2013,0.181,0.145,0.675
2014,0.175,0.142,0.683
2015,0.16,0.126,0.714
2016,0.158,0.122,0.72
2017,0.161,0.11,0.728
2018 (prelim),0.145,0.121,0.735
